
DRAFT (MLD.)	DRAFT (B.O.K)	DIS. (S.W)	DIS. (F.W)	VOL. (MLD)	L.C.F.	L.C.B.	V.C.B.	T.P.C.	M.T.C.	K.M.T	Cb	Cp	Cw	Cm	W.P.A.	W.S.A.
2.000	2.017	8072.6	7875.7	7822.9	6.949	7.637	1.042	43.3	390.40	40.002	.7140	.7336	.7723	.9733	4231.0	4529.1
2.050	2.067	8284.9	8082.8	8030.3	6.911	7.626	1.056	43.4	392.46	39.205	.7150	.7342	.7745	.9739	4243.0	4551.4
2.100	2.117	8505.3	8297.8	8245.8	6.898	7.601	1.093	43.5	394.50	38.364	.7167	.7355	.7759	.9745	4250.7	4572.2
2.150	2.167	8725.9	8513.1	8461.5	6.884	7.576	1.129	43.6	396.54	37.564	.7184	.7367	.7773	.9751	4258.3	4592.9
2.200	2.217	8946.5	8728.3	8677.3	6.871	7.553	1.163	43.7	398.59	36.803	.7200	.7379	.7787	.9757	4265.8	4613.7
2.250	2.267	9167.1	8943.5	8893.0	6.858	7.531	1.195	43.7	400.63	36.078	.7215	.7390	.7800	.9762	4273.4	4634.4
2.300	2.317	9387.6	9158.7	9108.8	6.845	7.510	1.226	43.8	402.67	35.388	.7229	.7401	.7814	.9767	4281.0	4655.2
2.350	2.367	9608.2	9373.9	9324.5	6.832	7.491	1.255	43.9	404.71	34.729	.7243	.7412	.7828	.9772	4288.6	4675.9
2.400	2.417	9828.8	9589.1	9540.3	6.819	7.471	1.283	44.0	406.75	34.100	.7256	.7422	.7842	.9777	4296.1	4696.7
2.450	2.467	10049.4	9804.3	9756.0	6.806	7.453	1.310	44.1	408.79	33.499	.7269	.7431	.7856	.9781	4303.7	4717.5
2.500	2.517	10270.0	10019.5	9971.7	6.793	7.436	1.335	44.2	410.83	32.923	.7281	.7440	.7870	.9786	4311.3	4738.2
2.550	2.567	10490.6	10234.7	10187.5	6.781	7.419	1.360	44.3	412.87	32.372	.7292	.7449	.7883	.9790	4318.8	4759.0
2.600	2.617	10711.2	10449.9	10403.2	6.768	7.403	1.383	44.4	414.91	31.843	.7304	.7457	.7897	.9794	4326.4	4779.7
2.650	2.667	10931.8	10665.2	10619.0	6.755	7.388	1.406	44.4	416.95	31.336	.7314	.7465	.7911	.9798	4334.0	4800.5
2.700	2.717	11152.4	10880.4	10834.7	6.743	7.373	1.428	44.5	418.99	30.849	.7325	.7473	.7925	.9802	4341.5	4821.2
2.750	2.767	11373.0	11095.6	11050.5	6.730	7.359	1.449	44.6	421.03	30.380	.7335	.7481	.7939	.9805	4349.1	4842.0
2.800	2.817	11593.6	11310.8	11266.2	6.718	7.345	1.469	44.7	423.07	29.930	.7345	.7488	.7952	.9809	4356.7	4862.7
2.850	2.867	11814.1	11526.0	11481.9	6.693	7.332	1.507	44.8	425.12	29.496	.7354	.7501	.7966	.9815	4364.3	4883.5
2.900	2.917	12034.7	11741.2	11697.7	6.705	7.319	1.488	44.9	427.16	29.078	.7363	.7495	.7980	.9812	4371.8	4904.2
2.950	2.967	12255.5	11956.6	11913.6	6.680	7.307	1.525	45.0	429.18	28.675	.7372	.7508	.7994	.9818	4379.4	4925.0
3.000	3.017	12483.2	12178.7	12135.3	6.641	7.289	1.592	45.0	430.59	28.278	.7384	.7518	.8005	.9822	4385.3	4945.1
3.050	3.067	12710.9	12400.9	12357.0	6.602	7.273	1.592	45.1	432.00	27.895	.7395	.7528	.8016	.9824	4391.3	4965.3
